Projekt_numer;Projekt_zespół;ID. Części;Rewizja;Opis;Numer katalogowy;Materiał;Typ;Obróbka cieplna;Powłoka;Handlowe;Zużywające;Spawanie;Uwagi;Liczba odniesień
;;3 842 517 058;A;Zaślepka 45x45L;3 842 517 058;REXROTH;H. Mech.;-;-;H;-;-;-;6
1936;006;PRT-A0065423;A;Regał na kuwety;-;Profile BOSCH;H. Mech.;-;-;P;-;-;-;1
;;3 842 548 797;A;Zaślepka 45x45 z otworem;3 842 548 797;REXROTH;H. Mech.;-;ESD;H;-;-;Opakowanie 20 szt.;39
1936;006;PRT-A0065424;A;Półka;-;S235JR/1.0037;Laser;-;Malować RAL 7035 (jasny szary);-;-;-;-;6
;;098DM12100M;C;Nóżka M12x100;098DM12100M;FATH;H. Mech.;-;-;H;-;-;-;36
;;098D080KG;D;Stopka 80kg;098D080KG;FATH;H. Mech.;-;-;H;-;-;-;36
;;093GV4590;A;Przegub 45x90;093GV4590;FATH;H. Mech.;-;-;H;-;-;-;1
1936;001;PRT-A0065090;A;Usztywnienie;-;S235JR/1.0037;Laser;-;Malować RAL 7035 (jasny szary);-;-;-;-;1
;;091006;A;Zaślepka 45x90;091006;FATH;H. Mech.;-;-;H;-;-;-;9
;;Profil 45x45 L=272;C;Profil 45x45;3 842 992 425;Profile BOSCH;H. Mech.;-;-;P;-;-;-;1
;;093GV4590;A;Przegub 45x90;093GV4590;FATH;H. Mech.;-;-;H;-;-;-;1
;;AQGZ1_1_11a;C;Gniazdo hermetyczne;AQGZ1/11A;SIMON;H. Elek.;-;-;H;-;-;-;7
1936;001;PRT-A0065087;0;Kątownik usztywnienia;-;PA6/3.1325;CNC;-;PIASKOWAĆ;-;-;-;-;1
;-;VS60+;0;Dyspenser etykiet;VS60+;CAB;H. Elek.;-;-;H;-;-;VS60+;1
1936;001;PRT-A0065089;0;Dystans;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;2
;;091011;A;Zaślepka 45x45;091011;FATH;H. Mech.;-;-;H;-;-;-;76
;;Profil 45x90 L=560;C;Profil 45x90L;3 842 992 432;Profile BOSCH;H. Mech.;-;-;P;-;-;-;1
;;Profil 45x45 L=130;C;Profil 45x45;3 842 992 425;Profile BOSCH;H. Mech.;-;-;P;-;-;-;1
1936;001;PRT-A0065088;0;Blacha dyspensera etykiet;-;0H18N9/1.4301;Laser;-;-;-;-;-;-;1
;;3 842 523 558;B;Kątownik 45-45;3 842 523 558;REXROTH;H. Mech.;-;-;H;-;-;-;8
1936;001;PRT-A0065097;A;Mocowanie Monitora;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;3
1936;001;PRT-A0065098;A;Mocowanie klawiatury;-;0H18N9/1.4301;-;-;-;-;-;-;-;3
1936;005;PRT-A0065099;A;Mocowanie Monitora;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;3
1936;001;PRT-A0065100;A;Adapter uchwytu NOVUS;-;PA6/3.1325;Skrawanie;-;Anodować;-;-;-;-;3
1936;001;ASM-A0009726;0;Uchwyt monitora;LiftTec   Arm I 7-15 kg;Novus;H. Mech.;-;-;H;-;-;-;3
;;Profil 45x90 L=130;C;Profil 45x90L;3 842 992 432;Profile BOSCH;H. Mech.;-;-;P;-;-;-;1
-;-;GL 230 Inspire Komplett;0;Odciąg Lasera;GL 230;ACI;H. Elek.;-;-;H;-;-;-;1
1936;010;PRT-A0065210;0;Rurka podpórcza spadni;-;S235JR/1.0037;-;-;-;-;-;-;-;4
