Projekt_numer;Projekt_zespół;ID. Części;Rewizja;Opis;Numer katalogowy;Materiał;Typ;Obróbka cieplna;Powłoka;Handlowe;Zużywające;Spawanie;Uwagi;Liczba odniesień
1927;300;PRT-A0057952;B;Ślizg;-;PA 6 /Poliamid;CNC;-;Kolor: Czarny;-;Z;-;-;2
1927;300;PRT-A0057
953;A;Podstawa II;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;2
1927;300;PRT-A0057951;A;Listwa;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;2
;-;HLS12X30-S-body;0;-;-;Materiał <nieokreślony>;-;-;-;H;-;-;-;2
;-;HLS12X30-S(0)-rod;0;-;-;Materiał <nieokreślony>;-;-;-;H;-;-;-;2
1927;300;PRT-A0058012;A;Blacha ślizgowa;;0H18N9/1.4301;Laser;-;-;;;;;2
1927;300;PRT-A0058004;A;Uchwyt elektrobębna;;PA6/3.1325;Skrawanie;;Anodować;-;-;-;;24
1927;300;PRT-A0058011;A;Elektrobęben 80LP fi84;0D4CP015F9-450;RULMECA;H. Elek.;-;-;H;-;-;-;2
1927;300;PRT-A0058015;A;Popychacz bębna;;C45/1.0503;Skrawanie;;Czernić;-;-;-;;16
1927;300;PRT-A0072912-Lustro;A;-;-;ABS;-;-;-;-;-;-;-;1
1927;300;PRT-A0061956-Lustro;A;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
1927;803;PRT-A0056802;A;Uchwyt band;-;PA6/3.1325;Skrawanie;-;Anodować;-;-;-;-;32
1927;300;PRT-A0061955;A;Mocowanie bandy;-;S235JR/1.0037;Laser;-;Malować RAL 7045 (ciemny szary);-;-;-;-;2
;-;lewy pozycja;0;Bariera optoelektroniczna jednokierunkowa;BOS0125;BALLUFF;H. Elek.;-;-;H;-;-;-;12
1927;300;PRT-A0063859;A;Mocowanie bramki;;S235JR/1.0037;Laser;-;Malować RAL 7045 (ciemny szary);-;-;-;;6
1927;300;PRT-A0058010;A;Bęben napinający;0DRFS-450;RULMECA;H. Mech.;-;-;H;Z;-;-;2
1927;300;PRT-A0058014;A;Ramka transportera zewnętrzny;;Profile BOSCH;-;;-;P;-;-;;2
1927;300;PRT-A0072912;A;Osłona taśmy transportujacej;-;ABS;Druk 3D;-;-;-;-;-;-;1
1927;300;PRT-A0058009-Lustro;A;-;-;0H18N9/1.4301;-;-;-;-;-;-;-;1
1927;803;PRT-A0056663;A;Mocowanie czujnika refleksyjnego;;S235JR/1.0037;Laser;;Malować RAL 7045 (ciemny szary);-;-;-;;6
